iter	RMSE
0	4473.508398
1	4315.816045
2	4166.565356
3	4027.7073
4	3901.842196
5	3787.08155
6	3682.308364
7	3586.35777
8	3496.403163
9	3407.331628
10	3331.468762
11	3261.973903
12	3200.319826
13	3142.13098
14	3089.787309
15	3035.564011
16	2987.694235
17	2944.887463
18	2903.058132
19	2864.192086
20	2829.180805
21	2795.39361
22	2766.299454
23	2738.007612
24	2708.121663
25	2682.090685
26	2658.641607
27	2637.226844
28	2615.584946
29	2596.703352
30	2581.192146
31	2561.560876
32	2547.316541
33	2529.760756
34	2513.091082
35	2499.888296
36	2487.797759
37	2474.023251
38	2464.543895
39	2453.213475
40	2443.063053
41	2433.920139
42	2424.656885
43	2417.042764
44	2408.473643
45	2395.906786
46	2388.303384
47	2376.800511
48	2369.634516
49	2361.218766
50	2352.060766
51	2345.781455
52	2336.629257
53	2330.883032
54	2324.549818
55	2319.899687
56	2312.956802
57	2307.733054
58	2301.727445
59	2296.880448
60	2291.849844
61	2287.963347
62	2282.570684
63	2278.999687
64	2273.212802
65	2269.090445
66	2264.359184
67	2259.69285
68	2256.816761
69	2252.620334
70	2247.112963
71	2244.25618
72	2237.283547
73	2233.73429
74	2229.526528
75	2221.879303
76	2217.551803
77	2213.890194
78	2209.269947
79	2204.212329
80	2199.596513
81	2196.486768
82	2193.631166
83	2191.430453
84	2188.647282
85	2184.941599
86	2180.684795
87	2177.82895
88	2173.65888
89	2171.846374
90	2169.011933
91	2166.476619
92	2163.696129
93	2163.368282
94	2160.770465
95	2156.229455
96	2152.329696
97	2148.820538
98	2142.730521
99	2139.621485
100	2136.842742
101	2132.769292
102	2130.250192
103	2128.142115
104	2124.710485
105	2121.95161
106	2120.602799
107	2117.229236
108	2114.477978
109	2111.775054
110	2108.870347
111	2105.32286
112	2100.700019
113	2097.890906
114	2094.711382
115	2091.406236
116	2086.860715
117	2083.804019
118	2079.913597
119	2077.79204
120	2074.221774
121	2071.560367
122	2068.732491
123	2067.153851
124	2064.383039
125	2061.419806
126	2058.211149
127	2056.833567
128	2055.324893
129	2051.514775
130	2049.587086
131	2047.262132
132	2044.589264
133	2042.146179
134	2038.594645
135	2036.714391
136	2033.669414
137	2031.780714
138	2027.478536
139	2025.670067
140	2024.367443
