iter	Passed	Remaining
0	3	3244
1	6	3103
2	9	3124
3	12	3087
4	15	3071
5	18	3054
6	21	3097
7	24	3056
8	27	3067
9	30	3064
10	34	3057
11	37	3076
12	40	3064
13	43	3040
14	46	3036
15	49	3049
16	52	3039
17	55	3020
18	58	3014
19	61	3009
20	64	2993
21	67	2994
22	70	2993
23	73	2979
24	76	2978
25	79	2975
26	82	2964
27	85	2960
28	88	2972
29	91	2970
30	95	2979
31	100	3040
32	107	3137
33	115	3279
34	122	3381
35	127	3407
36	132	3445
37	141	3586
38	147	3638
39	152	3656
40	156	3670
41	161	3685
42	169	3779
43	176	3839
44	189	4014
45	195	4045
46	204	4144
47	208	4129
48	213	4145
49	217	4141
50	221	4116
51	225	4103
52	231	4131
53	234	4113
54	237	4087
55	241	4074
56	246	4085
57	251	4087
58	255	4072
59	259	4065
60	264	4070
61	267	4049
62	271	4034
63	275	4033
64	280	4036
65	284	4029
66	288	4015
67	293	4020
68	296	4005
69	300	3991
70	304	3981
71	309	3989
72	312	3970
73	317	3968
74	320	3956
75	325	3960
76	329	3947
77	333	3947
78	337	3935
79	342	3938
80	346	3926
81	350	3926
82	354	3921
83	359	3916
84	363	3912
85	367	3903
86	372	3911
87	376	3904
88	379	3886
89	382	3871
90	386	3860
91	390	3853
92	393	3840
93	395	3813
94	398	3797
95	403	3802
96	407	3792
97	410	3780
98	413	3764
99	417	3753
100	420	3746
101	423	3731
102	426	3717
103	429	3702
104	433	3691
105	436	3684
106	439	3670
107	442	3658
108	445	3644
109	450	3646
110	453	3634
111	456	3622
112	459	3609
113	462	3597
114	467	3594
115	470	3583
116	473	3571
117	476	3562
118	480	3557
119	484	3553
120	487	3541
121	490	3528
122	493	3517
123	497	3514
124	500	3503
125	503	3490
126	506	3479
127	509	3468
128	513	3466
129	516	3454
130	518	3442
131	521	3432
132	525	3422
133	529	3425
134	533	3415
135	536	3407
136	539	3396
137	544	3403
138	547	3392
139	550	3383
140	553	3373
141	556	3363
142	560	3361
143	563	3351
144	566	3341
145	569	3332
146	572	3323
147	576	3320
148	579	3310
149	582	3302
150	586	3296
151	589	3286
152	593	3285
153	596	3276
154	599	3267
155	602	3260
156	605	3251
157	609	3250
158	612	3240
159	615	3231
160	618	3222
161	621	3215
162	625	3210
163	627	3201
164	631	3194
165	634	3185
166	637	3179
167	641	3174
168	644	3167
169	647	3159
170	650	3151
171	654	3149
172	657	3141
173	660	3136
174	663	3129
175	666	3121
176	671	3120
177	674	3114
178	677	3107
179	681	3102
180	686	3104
181	688	3095
182	692	3089
183	695	3083
184	698	3077
185	702	3075
186	706	3069
187	708	3061
188	711	3054
189	714	3046
190	720	3049
191	723	3043
192	726	3035
193	729	3030
194	733	3029
195	736	3022
196	739	3015
197	742	3007
198	745	3002
199	750	3001
200	753	2994
201	756	2989
202	759	2983
203	763	2978
204	766	2973
205	770	2968
206	773	2964
207	776	2958
208	782	2960
209	786	2960
210	790	2954
211	799	2973
212	803	2967
213	806	2962
214	810	2960
215	816	2965
216	820	2959
217	823	2952
218	826	2948
219	847	3004
220	850	2997
221	860	3015
222	864	3013
223	868	3007
224	871	3000
225	876	3001
226	880	2998
227	883	2992
228	887	2987
229	891	2986
230	895	2982
231	898	2975
232	901	2967
233	904	2961
234	909	2961
235	912	2954
236	915	2948
237	918	2942
238	926	2949
239	930	2946
240	934	2943
241	943	2956
242	946	2949
243	950	2944
244	956	2946
245	960	2943
246	963	2938
247	967	2932
248	974	2939
249	977	2933
250	980	2926
251	985	2926
252	991	2927
253	994	2921
254	997	2914
255	1005	2923
256	1008	2916
257	1011	2910
258	1017	2910
259	1022	2909
260	1025	2903
261	1028	2896
262	1032	2893
263	1036	2890
264	1039	2883
265	1042	2877
266	1045	2871
267	1052	2874
268	1055	2868
269	1058	2863
270	1066	2867
271	1070	2866
272	1073	2859
273	1076	2853
274	1084	2859
275	1087	2853
276	1091	2847
277	1097	2850
278	1101	2846
279	1104	2841
280	1107	2834
281	1113	2836
282	1117	2831
283	1120	2825
284	1123	2818
285	1131	2825
286	1134	2819
287	1137	2812
288	1140	2806
289	1147	2809
290	1150	2803
291	1154	2798
292	1157	2792
293	1162	2791
294	1165	2785
295	1168	2778
296	1171	2771
297	1177	2774
298	1180	2768
299	1183	2762
300	1186	2755
301	1193	2759
302	1196	2751
303	1199	2745
304	1202	2740
305	1209	2743
306	1213	2739
307	1216	2733
308	1225	2741
309	1228	2734
310	1231	2728
311	1234	2722
312	1241	2725
313	1244	2719
314	1248	2714
315	1254	2714
316	1258	2712
317	1261	2706
318	1265	2700
319	1273	2706
320	1276	2700
321	1279	2694
322	1282	2687
323	1287	2685
324	1290	2679
325	1293	2674
326	1296	2668
327	1303	2670
328	1306	2664
329	1309	2659
330	1313	2654
331	1319	2655
332	1323	2651
333	1326	2645
334	1330	2640
335	1335	2638
336	1338	2633
337	1341	2627
338	1345	2622
339	1349	2619
340	1352	2613
341	1355	2608
342	1359	2603
343	1367	2607
344	1370	2601
345	1373	2596
346	1376	2590
347	1381	2587
348	1384	2583
349	1388	2577
350	1390	2571
351	1398	2574
352	1401	2568
353	1404	2563
354	1411	2565
355	1415	2559
356	1418	2554
357	1421	2548
358	1424	2544
359	1429	2542
360	1433	2536
361	1436	2530
362	1439	2525
363	1446	2526
364	1448	2520
365	1451	2514
366	1457	2514
367	1462	2511
368	1465	2506
369	1468	2500
370	1476	2503
371	1480	2498
372	1483	2494
373	1489	2493
374	1493	2489
375	1496	2483
376	1499	2478
377	1515	2493
378	1520	2490
379	1525	2489
